Frame,GreenViewIndex
frame_0903,0.3719
frame_0904,0.3677
frame_0905,0.3695
frame_0906,0.3691
frame_0907,0.3763
frame_0908,0.3792
frame_0909,0.4008
frame_0910,0.4006
frame_0911,0.4152
frame_0912,0.4257
frame_0913,0.4224
frame_0914,0.4159
frame_0915,0.4184
frame_0916,0.4232
frame_0917,0.4209
frame_0918,0.4228
frame_0919,0.4236
frame_0920,0.4218
frame_0921,0.4278
frame_0922,0.4262
frame_0923,0.4297
frame_0924,0.4357
frame_0925,0.4342
frame_0926,0.4223
frame_0927,0.4073
frame_0928,0.3963
frame_0929,0.3891
frame_0930,0.3828
frame_0931,0.3736
frame_0932,0.3673
frame_0933,0.3646
frame_0934,0.3579
frame_0935,0.3568
frame_0936,0.3513
frame_0937,0.3494
frame_0938,0.3449
frame_0939,0.3412
frame_0940,0.3472
frame_0941,0.3462
frame_0942,0.3476
frame_0943,0.3544
frame_0944,0.3535
frame_0945,0.3700
frame_0946,0.3763
frame_0947,0.3879
frame_0948,0.3958
frame_0949,0.3874
frame_0950,0.3832
frame_0951,0.3927
frame_0952,0.3854
frame_0953,0.3877
frame_0954,0.3795
frame_0955,0.3769
frame_0956,0.3694
frame_0957,0.3552
frame_0958,0.3524
frame_0959,0.3398
frame_0960,0.3278
frame_0961,0.3214
frame_0962,0.3122
frame_0963,0.3062
frame_0964,0.2949
frame_0965,0.2833
frame_0966,0.2735
frame_0967,0.2650
frame_0968,0.2544
frame_0969,0.2428
frame_0970,0.2317
frame_0971,0.2296
frame_0972,0.2143
frame_0973,0.2089
frame_0974,0.1986
frame_0975,0.1896
frame_0976,0.1774
frame_0977,0.1698
frame_0978,0.1597
frame_0979,0.1516
frame_0980,0.1394
frame_0981,0.1337
frame_0982,0.1285
frame_0983,0.1202
frame_0984,0.1166
frame_0985,0.1075
frame_0986,0.1026
frame_0987,0.0974
frame_0988,0.0902
frame_0989,0.0898
frame_0990,0.0859
frame_0991,0.0828
frame_0992,0.0785
frame_0993,0.0740
frame_0994,0.0680
frame_0995,0.0653
frame_0996,0.0602
frame_0997,0.0573
frame_0998,0.0543
frame_0999,0.0537
frame_1000,0.0511
frame_1001,0.0500
frame_1002,0.0492
frame_1003,0.0491
frame_1004,0.0482
frame_1005,0.0494
